country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1982,12881816,Asia,39.854,978.0114388
Afghanistan,1987,13867957,Asia,40.822,852.3959448
Albania,1982,2780097,Europe,70.42,3630.880722
Albania,1987,3075321,Europe,72,3738.932735
Algeria,1982,20033753,Africa,61.368,5745.160213
Algeria,1987,23254956,Africa,65.799,5681.358539
Angola,1982,7016384,Africa,39.942,2756.953672
Angola,1987,7874230,Africa,39.906,2430.208311
Argentina,1982,29341374,Americas,69.942,8997.897412
Argentina,1987,31620918,Americas,70.774,9139.671389
Australia,1982,15184200,Oceania,74.74,19477.00928
Australia,1987,16257249,Oceania,76.32,21888.88903
Austria,1982,7574613,Europe,73.18,21597.08362
Austria,1987,7578903,Europe,74.94,23687.82607
Bahrain,1982,377967,Asia,69.052,19211.14731
Bahrain,1987,454612,Asia,70.75,18524.02406
Bangladesh,1982,93074406,Asia,50.009,676.9818656
Bangladesh,1987,103764241,Asia,52.819,751.9794035
Belgium,1982,9856303,Europe,73.93,20979.84589
Belgium,1987,9870200,Europe,75.35,22525.56308
Benin,1982,3641603,Africa,50.904,1277.897616
Benin,1987,4243788,Africa,52.337,1225.85601
Bolivia,1982,5642224,Americas,53.859,3156.510452
Bolivia,1987,6156369,Americas,57.251,2753.69149
Bosnia and Herzegovina,1982,4172693,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977,Europe,71.14,4314.114757
Botswana,1982,970347,Africa,61.484,4551.14215
Botswana,1987,1151184,Africa,63.622,6205.88385
Brazil,1982,128962939,Americas,63.336,7030.835878
Brazil,1987,142938076,Americas,65.205,7807.095818
Bulgaria,1982,8892098,Europe,71.08,8224.191647
Bulgaria,1987,8971958,Europe,71.34,8239.854824
Burkina Faso,1982,6634596,Africa,48.122,807.1985855
Burkina Faso,1987,7586551,Africa,49.557,912.0631417
Burundi,1982,4580410,Africa,47.471,559.603231
Burundi,1987,5126023,Africa,48.211,621.8188189
Cambodia,1982,7272485,Asia,50.957,624.4754784
Cambodia,1987,8371791,Asia,53.914,683.8955732
Cameroon,1982,9250831,Africa,52.961,2367.983282
Cameroon,1987,10780667,Africa,54.985,2602.664206
Canada,1982,25201900,Americas,75.76,22898.79214
Canada,1987,26549700,Americas,76.86,26626.51503
Central African Republic,1982,2476971,Africa,48.295,956.7529907
Central African Republic,1987,2840009,Africa,50.485,844.8763504
Chad,1982,4875118,Africa,49.517,797.9081006
Chad,1987,5498955,Africa,51.051,952.386129
Chile,1982,11487112,Americas,70.565,5095.665738
Chile,1987,12463354,Americas,72.492,5547.063754
China,1982,1000281000,Asia,65.525,962.4213805
China,1987,1084035000,Asia,67.274,1378.904018
Colombia,1982,27764644,Americas,66.653,4397.575659
Colombia,1987,30964245,Americas,67.768,4903.2191
Comoros,1982,348643,Africa,52.933,1267.100083
Comoros,1987,395114,Africa,54.926,1315.980812
Congo Dem. Rep.,1982,30646495,Africa,47.784,673.7478181
Congo Dem. Rep.,1987,35481645,Africa,47.412,672.774812
Congo Rep.,1982,1774735,Africa,56.695,4879.507522
Congo Rep.,1987,2064095,Africa,57.47,4201.194937
